ResourceNo,ResourceType,CultureName,ResourceKey,ResourceValue,InitBy,InitDate,ChangedBy,ChangedDate
6477,CommonTerms,fr-CA,MaintenanceCertificate,Certificat d'entretien,Pat,2011-11-07 00:00:00,daghern,2011-12-01 07:27:00
4549,CommonTerms,en-US,SecurityGroupName,Security Group Name,pat,2011-04-06 00:00:00,,NULL
615,CommonTerms,en-US,Smaller,Smaller,pat,2011-04-06 00:00:00,,NULL
2486,CommonTerms,en-US,LeaseEnd,Lease End,pat,2011-04-06 00:00:00,,NULL
2558,CommonTerms,fr-CA,PresentAddress,Adresse actuelle,pat,2011-04-06 00:00:00,HThomas,2011-12-08 10:02:00
946,CommonTerms,fr-CA,Phone,Téléphone,pat,2011-04-06 00:00:00,HThomas,2011-12-13 07:46:00
1852,ExceptionMessages,en-US,CreditCheckEquifaxError,Credit Check Equifax Error: {0}.,pat,2011-04-06 00:00:00,,NULL
1895,Labels,en-US,Language,Language:,pat,2011-04-06 00:00:00,,NULL
2168,Labels,fr-CA,FrenchName,Nom (français) :,pat,2011-04-06 00:00:00,HThomas,2015-05-12 11:45:00
6583,CommonTerms,fr-CA,Reason,Justification,JGoh,2011-11-29 00:00:00,daghern,2012-01-04 11:59:00
6584,CommonTerms,fr-CA,RestartWebApplication,Redémarrage de l'application Web,johnny,2011-12-15 00:00:00,daghern,2012-01-04 11:57:00
6585,CommonTerms,fr-CA,SnowIceRemovalLogs,Journaux de déneigement et de déglaçage,JGoh,2011-12-15 00:00:00,daghern,2012-05-03 09:34:00
6586,CommonTerms,fr-CA,SOAConfirmDelete,"Ce dossier sera supprimé, voulez-vous poursuivre?",JGoh,2011-11-24 00:00:00,HThomas,2015-12-03 12:36:00
6587,CommonTerms,fr-CA,SOAConfirmInsert,Relevé de compte ajouté avec succès,JGoh,2011-11-24 00:00:00,HThomas,2012-01-05 14:24:00
6588,CommonTerms,fr-CA,SOAConfirmUpdate,"Confirmation de l'actualisation du relevé de compte ",JGoh,2011-11-24 00:00:00,HThomas,2012-01-10 07:54:00
974,CommonTerms,fr-CA,CcEmail,Courriel c.c.,pat,2011-04-06 00:00:00,daghern,2011-12-05 09:25:00
4837,Labels,en-US,StatementSentFlag,Statement Sent Flag:,pat,2011-04-06 00:00:00,,NULL
4810,CommonTerms,fr-CA,False,Faux,pat,2011-04-06 00:00:00,daghern,2011-12-05 12:46:00
6589,CommonTerms,fr-CA,SOAConfirmUpdateSDClaim,Confirmation de l'actualisation de la réclamation du DG dans le relevé de compte,JGoh,2011-11-24 00:00:00,HThomas,2012-01-10 07:54:00
2240,ValidationMessages,en-US,MassiveMoveInLeaseOldOwnerInterestOntario,Interest from the old owner may only be set for Ontario leases. This value will be set to zero.,pat,2011-04-06 00:00:00,,NULL
158,ExceptionMessages,fr-CA,InvalidArguments,Arguments donnés invalides.,pat,2011-04-06 00:00:00,HThomas,2015-05-12 12:27:00
6590,CommonTerms,fr-CA,SortOrder,Ordre de tri,Pat,2011-12-14 00:00:00,daghern,2012-01-04 11:21:00
1996,Labels,fr-CA,Stove,Cuisinière :,pat,2011-04-06 00:00:00,HThomas,2011-12-06 08:38:00
2756,Labels,fr-CA,SDHalfMonth,DG (1/2 mois) :,pat,2011-04-06 00:00:00,HThomas,2011-12-14 07:35:00
6591,CommonTerms,fr-CA,StartTime,Heure de début,JGoh,2011-12-14 00:00:00,daghern,2012-01-04 11:16:00
2312,ValidationMessages,fr-CA,ProvinceNameIsUnique,Une province du nom de {0} existe déjà pour le pays sélectionné.,pat,2011-04-06 00:00:00,HThomas,2011-12-07 11:24:00
6592,CommonTerms,fr-CA,SuggestedDescription,Description suggérée,Pat,2011-12-01 00:00:00,daghern,2012-01-04 11:17:00
6593,CommonTerms,fr-CA,SuggestedDescriptionFR,Description suggérée (français),Pat,2011-12-01 00:00:00,daghern,2012-01-04 11:16:00
528,CommonTerms,en-US,RentalInquiryTypeList,Rental Inquiry Type List,pat,2011-04-06 00:00:00,,NULL
729,CommonTerms,en-US,ContentType,Content Type,pat,2011-04-06 00:00:00,,NULL
439,CommonTerms,en-US,Country,Country,pat,2011-04-06 00:00:00,,NULL
307,CommonTerms,fr-CA,ByWhom,Par qui,pat,2011-04-06 00:00:00,daghern,2011-12-01 11:46:00
6594,CommonTerms,fr-CA,Target,Cible,Pat,2011-12-14 00:00:00,daghern,2012-01-04 11:18:00
848,CommonTerms,fr-CA,Add,Ajouter,pat,2011-04-06 00:00:00,daghern,2011-11-29 13:25:00
2179,ValidationMessages,en-US,SharedInteracCompanyIsUnique,The selected project {0} is already entered and shares with {1}.,pat,2011-04-06 00:00:00,,NULL
4937,ValidationMessages,en-US,VerifyEmailAddresses,Please verify the email address(es).  Multiple emails must be separated by ';'.,pat,2011-04-06 00:00:00,,NULL
4763,Labels,en-US,Recurring,Recurring:,pat,2011-04-06 00:00:00,,NULL
3047,Labels,en-US,CollectionAgency,Collection Agency:,pat,2011-04-06 00:00:00,,NULL
375,ValidationMessages,fr-CA,PleaseSelectAtLeastOneItem,Veuillez sélectionner au moins un item.,pat,2011-04-06 00:00:00,HThomas,2017-06-29 09:30:00
6595,CommonTerms,fr-CA,TextResourceKey,Légende,Pat,2011-12-14 00:00:00,HThomas,2012-01-10 08:42:00
6596,CommonTerms,fr-CA,UnableToDeleteSOAContactDesktopSupport,"Impossible de supprimer le relevé de compte. Veuillez joindre l'assistance technique.  ",JGoh,2011-11-28 00:00:00,HThomas,2016-01-07 14:26:00
6597,CommonTerms,fr-CA,Url,Adresse URL,Pat,2011-12-14 00:00:00,HThomas,2012-01-05 06:38:00
6598,CommonTerms,fr-CA,ValidationErrors,Erreurs de validation,Pat,2011-11-25 00:00:00,HThomas,2012-01-05 06:38:00
6599,CommonTerms,fr-CA,Warnings,Avertissements,Pat,2011-11-25 00:00:00,HThomas,2018-05-23 08:22:00
6600,DevExpress_Web_ASPxGridView_v11_1,en-US,ASPxGridViewStringId.Summary_Count,Count,HaiZhu,2011-11-28 00:00:00,,NULL
2663,Labels,en-US,UserName,User Name:,pat,2011-04-06 00:00:00,,NULL
2952,CommonTerms,fr-CA,ResourceType,Catégorie de ressources,pat,2011-04-06 00:00:00,HThomas,2015-06-09 08:30:00
2027,Labels,fr-CA,IncludeCable,Câble :,pat,2011-04-06 00:00:00,ndagher,2016-02-29 09:41:00
746,CommonTerms,en-US,SocialInsNo,Social Ins #,pat,2011-04-06 00:00:00,,NULL
4654,ExceptionMessages,en-US,PropertyPastEffectiveDateDelete,{0} cannot be deleted because it has pass the effective date.,pat,2011-04-06 00:00:00,,NULL
4522,ValidationMessages,fr-CA,RegExPatterns_PasswordStrength,"^(?=.*\d)(?=.*[a-z])(?=.*[A-Z])(?=.*[*$-+?_&=!%{}/]).{7,15}$",pat,2011-04-06 00:00:00,pat,2015-03-11 13:58:00
2375,CommonTerms,en-US,Occupation,Occupation,pat,2011-04-06 00:00:00,,NULL
